"Date Printed: Monday, March 9, 2026 3:25:36 PM"
Title: "Households living below the federal poverty level | Uninsured | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming""
Footnote(s): The Census Bureau urges data users to exercise caution when using the 1-year 2020 experimental ACS data estimates and to determine whether the data are suitable for their particular use. Planning region data for Connecticut are temporarily not available due to the transition from counties to planning regions.
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Numerator,Percent
"Uninsured","2020 (COVID-19 Pandemic)","Nebraska","31","154,079","8.1"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Nebraska","31","28,305","5.8"
"Uninsured","2021","Nebraska","31","137,604","7.1"
"Households living below the federal poverty level","2021","Nebraska","31","33,174","6.7"
"Uninsured","2022","Nebraska","31","129,571","6.7"
"Households living below the federal poverty level","2022","Nebraska","31","38,622","7.7"
"Uninsured","2017","Nevada","32","332,624","11.2"
"Households living below the federal poverty level","2017","Nevada","32","63,741","9.1"
"Uninsured","2018","Nevada","32","336,191","11.2"
"Households living below the federal poverty level","2018","Nevada","32","64,304","9.1"
"Uninsured","2019","Nevada","32","347,631","11.4"
"Households living below the federal poverty level","2019","Nevada","32","62,967","8.7"
"Uninsured","2020 (COVID-19 Pandemic)","Nevada","32","370,912","12.0"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Nevada","32","59,557","8.0"
"Uninsured","2021","Nevada","32","361,664","11.6"
"Households living below the federal poverty level","2021","Nevada","32","79,891","10.6"
"Uninsured","2022","Nevada","32","348,688","11.1"
"Households living below the federal poverty level","2022","Nevada","32","70,403","9.1"
"Uninsured","2017","New Hampshire","33","77,059","5.8"
"Households living below the federal poverty level","2017","New Hampshire","33","16,964","4.9"
"Uninsured","2018","New Hampshire","33","77,011","5.7"
"Households living below the federal poverty level","2018","New Hampshire","33","16,062","4.7"
"Uninsured","2019","New Hampshire","33","84,024","6.3"
"Households living below the federal poverty level","2019","New Hampshire","33","14,549","4.2"
"Uninsured","2020 (COVID-19 Pandemic)","New Hampshire","33","82,240","6.1"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","New Hampshire","33","14,524","4.2"
"Uninsured","2021","New Hampshire","33","70,511","5.1"
"Households living below the federal poverty level","2021","New Hampshire","33","17,338","4.8"
"Uninsured","2022","New Hampshire","33","67,521","4.9"
"Households living below the federal poverty level","2022","New Hampshire","33","14,682","4.1"
"Uninsured","2017","New Jersey","34","688,068","7.7"
"Households living below the federal poverty level","2017","New Jersey","34","163,172","7.3"
"Uninsured","2018","New Jersey","34","655,000","7.4"
"Households living below the federal poverty level","2018","New Jersey","34","153,983","6.9"
"Uninsured","2019","New Jersey","34","692,341","7.9"
"Households living below the federal poverty level","2019","New Jersey","34","138,976","6.2"
"Uninsured","2020 (COVID-19 Pandemic)","New Jersey","34","663,375","7.6"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","New Jersey","34","158,325","7.0"
"Uninsured","2021","New Jersey","34","656,728","7.2"
"Households living below the federal poverty level","2021","New Jersey","34","176,070","7.4"
"Uninsured","2022","New Jersey","34","627,147","6.8"
"Households living below the federal poverty level","2022","New Jersey","34","161,735","6.8"
"Uninsured","2017","New Mexico","35","186,996","9.1"
"Households living below the federal poverty level","2017","New Mexico","35","72,822","15.2"
"Uninsured","2018","New Mexico","35","196,250","9.5"
"Households living below the federal poverty level","2018","New Mexico","35","74,802","15.1"
"Uninsured","2019","New Mexico","35","205,156","10.0"
"Households living below the federal poverty level","2019","New Mexico","35","68,084","13.7"
"Uninsured","2020 (COVID-19 Pandemic)","New Mexico","35","201,406","9.7"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","New Mexico","35","60,726","12.5"
"Uninsured","2021","New Mexico","35","207,125","10.0"
"Households living below the federal poverty level","2021","New Mexico","35","74,739","14.3"
"Uninsured","2022","New Mexico","35","170,469","8.2"
"Households living below the federal poverty level","2022","New Mexico","35","65,074","12.6"
"Uninsured","2017","New York","36","1,112,942","5.7"
"Households living below the federal poverty level","2017","New York","36","480,481","10.4"
"Uninsured","2018","New York","36","1,041,233","5.4"
"Households living below the federal poverty level","2018","New York","36","463,294","10.0"
"Uninsured","2019","New York","36","1,006,528","5.2"
"Households living below the federal poverty level","2019","New York","36","431,181","9.3"
"Uninsured","2020 (COVID-19 Pandemic)","New York","36","989,169","5.2"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","New York","36","433,801","9.3"
"Uninsured","2021","New York","36","1,019,287","5.2"
"Households living below the federal poverty level","2021","New York","36","476,290","10.1"
"Uninsured","2022","New York","36","944,796","4.9"
"Households living below the federal poverty level","2022","New York","36","488,037","10.3"
"Uninsured","2017","North Carolina","37","1,075,983","10.7"
"Households living below the federal poverty level","2017","North Carolina","37","274,559","10.6"
"Uninsured","2018","North Carolina","37","1,092,046","10.7"
"Households living below the federal poverty level","2018","North Carolina","37","267,474","10.2"
"Uninsured","2019","North Carolina","37","1,157,280","11.3"
"Households living below the federal poverty level","2019","North Carolina","37","252,515","9.6"
"Uninsured","2020 (COVID-19 Pandemic)","North Carolina","37","1,099,190","10.6"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","North Carolina","37","219,155","8.5"
"Uninsured","2021","North Carolina","37","1,078,109","10.4"
"Households living below the federal poverty level","2021","North Carolina","37","252,455","9.4"
"Uninsured","2022","North Carolina","37","973,095","9.3"
"Households living below the federal poverty level","2022","North Carolina","37","259,051","9.3"
"Uninsured","2017","North Dakota","38","55,582","7.5"
"Households living below the federal poverty level","2017","North Dakota","38","11,603","6.1"
"Uninsured","2018","North Dakota","38","53,935","7.3"
"Households living below the federal poverty level","2018","North Dakota","38","10,711","5.7"
"Uninsured","2019","North Dakota","38","51,324","6.9"
"Households living below the federal poverty level","2019","North Dakota","38","12,318","6.5"
"Uninsured","2020 (COVID-19 Pandemic)","North Dakota","38","53,702","7.2"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","North Dakota","38","14,189","7.4"
"Uninsured","2021","North Dakota","38","59,397","7.9"
"Households living below the federal poverty level","2021","North Dakota","38","12,002","6.3"
"Uninsured","2022","North Dakota","38","48,630","6.4"
"Households living below the federal poverty level","2022","North Dakota","38","12,594","6.5"
"Uninsured","2017","Ohio","39","686,014","6.0"
"Households living below the federal poverty level","2017","Ohio","39","289,215","9.8"
"Uninsured","2018","Ohio","39","743,905","6.5"
"Households living below the federal poverty level","2018","Ohio","39","283,652","9.7"
"Uninsured","2019","Ohio","39","757,762","6.6"
"Households living below the federal poverty level","2019","Ohio","39","270,717","9.2"
"Uninsured","2020 (COVID-19 Pandemic)","Ohio","39","771,620","6.7"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Ohio","39","254,778","8.7"
"Uninsured","2021","Ohio","39","757,709","6.5"
"Households living below the federal poverty level","2021","Ohio","39","280,726","9.4"
"Uninsured","2022","Ohio","39","682,549","5.9"
"Households living below the federal poverty level","2022","Ohio","39","277,432","9.3"
"Uninsured","2017","Oklahoma","40","545,483","14.2"
"Households living below the federal poverty level","2017","Oklahoma","40","111,841","11.6"
"Uninsured","2018","Oklahoma","40","548,316","14.2"
"Households living below the federal poverty level","2018","Oklahoma","40","112,097","11.4"
"Uninsured","2019","Oklahoma","40","552,835","14.3"
"Households living below the federal poverty level","2019","Oklahoma","40","105,381","10.8"
"Uninsured","2020 (COVID-19 Pandemic)","Oklahoma","40","595,430","15.3"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Oklahoma","40","94,731","9.7"
"Uninsured","2021","Oklahoma","40","537,825","13.8"
"Households living below the federal poverty level","2021","Oklahoma","40","114,982","11.5"
"Uninsured","2022","Oklahoma","40","460,880","11.7"
"Households living below the federal poverty level","2022","Oklahoma","40","116,004","11.4"
"Uninsured","2017","Oregon","41","280,816","6.8"
"Households living below the federal poverty level","2017","Oregon","41","88,966","8.8"
"Uninsured","2018","Oregon","41","293,107","7.1"
"Households living below the federal poverty level","2018","Oregon","41","82,212","8.0"
"Uninsured","2019","Oregon","41","299,420","7.2"
"Households living below the federal poverty level","2019","Oregon","41","67,425","6.6"
"Uninsured","2020 (COVID-19 Pandemic)","Oregon","41","276,223","6.6"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Oregon","41","69,394","6.6"
"Uninsured","2021","Oregon","41","255,438","6.1"
"Households living below the federal poverty level","2021","Oregon","41","80,106","7.6"
"Uninsured","2022","Oregon","41","252,437","6.0"
"Households living below the federal poverty level","2022","Oregon","41","80,163","7.7"
"Uninsured","2017","Pennsylvania","42","692,203","5.5"
"Households living below the federal poverty level","2017","Pennsylvania","42","257,360","8.1"
"Uninsured","2018","Pennsylvania","42","699,376","5.5"
"Households living below the federal poverty level","2018","Pennsylvania","42","262,056","8.1"
"Uninsured","2019","Pennsylvania","42","726,448","5.8"
"Households living below the federal poverty level","2019","Pennsylvania","42","264,714","8.2"
"Uninsured","2020 (COVID-19 Pandemic)","Pennsylvania","42","790,932","6.3"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Pennsylvania","42","237,627","7.3"
"Uninsured","2021","Pennsylvania","42","701,541","5.5"
"Households living below the federal poverty level","2021","Pennsylvania","42","273,780","8.3"
"Uninsured","2022","Pennsylvania","42","680,937","5.3"
"Households living below the federal poverty level","2022","Pennsylvania","42","260,290","7.9"
"Uninsured","2017","Rhode Island","44","48,190","4.6"
"Households living below the federal poverty level","2017","Rhode Island","44","19,893","7.9"
"Uninsured","2018","Rhode Island","44","42,481","4.1"
"Households living below the federal poverty level","2018","Rhode Island","44","22,520","9.1"
"Uninsured","2019","Rhode Island","44","42,720","4.1"
"Households living below the federal poverty level","2019","Rhode Island","44","16,499","6.6"
"Uninsured","2020 (COVID-19 Pandemic)","Rhode Island","44","38,331","3.7"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Rhode Island","44","15,706","6.0"
"Uninsured","2021","Rhode Island","44","46,945","4.3"
"Households living below the federal poverty level","2021","Rhode Island","44","18,810","7.0"
"Uninsured","2022","Rhode Island","44","45,382","4.2"
"Households living below the federal poverty level","2022","Rhode Island","44","17,884","6.7"
"Uninsured","2017","South Carolina","45","541,533","11.0"
"Households living below the federal poverty level","2017","South Carolina","45","141,618","11.3"
"Uninsured","2018","South Carolina","45","522,459","10.5"
"Households living below the federal poverty level","2018","South Carolina","45","135,893","10.8"
"Uninsured","2019","South Carolina","45","547,666","10.8"
"Households living below the federal poverty level","2019","South Carolina","45","126,060","9.8"
"Uninsured","2020 (COVID-19 Pandemic)","South Carolina","45","535,083","10.5"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","South Carolina","45","117,500","9.2"
"Uninsured","2021","South Carolina","45","511,935","10.0"
"Households living below the federal poverty level","2021","South Carolina","45","144,427","10.8"
"Uninsured","2022","South Carolina","45","470,480","9.1"
"Households living below the federal poverty level","2022","South Carolina","45","139,841","10.0"
"Uninsured","2017","South Dakota","46","77,338","9.1"
"Households living below the federal poverty level","2017","South Dakota","46","17,926","8.4"
"Uninsured","2018","South Dakota","46","84,707","9.8"
"Households living below the federal poverty level","2018","South Dakota","46","17,577","8.0"
"Uninsured","2019","South Dakota","46","88,337","10.2"
"Households living below the federal poverty level","2019","South Dakota","46","16,349","7.3"
"Uninsured","2020 (COVID-19 Pandemic)","South Dakota","46","85,801","9.8"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","South Dakota","46","15,945","7.3"
"Uninsured","2021","South Dakota","46","83,320","9.5"
"Households living below the federal poverty level","2021","South Dakota","46","17,475","7.9"
"Uninsured","2022","South Dakota","46","71,588","8.1"
"Households living below the federal poverty level","2022","South Dakota","46","17,313","7.7"
"Uninsured","2017","Tennessee","47","629,142","9.5"
"Households living below the federal poverty level","2017","Tennessee","47","186,116","10.9"
"Uninsured","2018","Tennessee","47","674,865","10.1"
"Households living below the federal poverty level","2018","Tennessee","47","193,023","11.3"
"Uninsured","2019","Tennessee","47","681,647","10.1"
"Households living below the federal poverty level","2019","Tennessee","47","172,790","10.0"
"Uninsured","2020 (COVID-19 Pandemic)","Tennessee","47","691,111","10.2"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Tennessee","47","155,083","9.1"
"Uninsured","2021","Tennessee","47","686,104","10.0"
"Households living below the federal poverty level","2021","Tennessee","47","172,932","9.7"
"Uninsured","2022","Tennessee","47","647,059","9.3"
"Households living below the federal poverty level","2022","Tennessee","47","177,270","9.6"
"Uninsured","2017","Texas","48","4,816,968","17.3"
"Households living below the federal poverty level","2017","Texas","48","756,655","11.3"
"Uninsured","2018","Texas","48","5,002,893","17.7"
"Households living below the federal poverty level","2018","Texas","48","767,251","11.4"
"Uninsured","2019","Texas","48","5,233,960","18.4"
"Households living below the federal poverty level","2019","Texas","48","720,052","10.5"
"Uninsured","2020 (COVID-19 Pandemic)","Texas","48","5,061,949","17.5"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Texas","48","658,064","9.6"
"Uninsured","2021","Texas","48","5,224,044","18.0"
"Households living below the federal poverty level","2021","Texas","48","811,050","11.0"
"Uninsured","2022","Texas","48","4,898,967","16.6"
"Households living below the federal poverty level","2022","Texas","48","815,687","10.9"
"Uninsured","2017","Utah","49","281,753","9.2"
"Households living below the federal poverty level","2017","Utah","49","48,453","6.7"
"Uninsured","2018","Utah","49","295,364","9.4"
"Households living below the federal poverty level","2018","Utah","49","45,370","6.1"
"Uninsured","2019","Utah","49","306,856","9.7"
"Households living below the federal poverty level","2019","Utah","49","46,419","6.1"
"Uninsured","2020 (COVID-19 Pandemic)","Utah","49","273,006","8.5"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Utah","49","36,222","4.7"
"Uninsured","2021","Utah","49","298,788","9.0"
"Households living below the federal poverty level","2021","Utah","49","47,084","5.9"
"Uninsured","2022","Utah","49","272,623","8.1"
"Households living below the federal poverty level","2022","Utah","49","46,513","5.6"
"Uninsured","2017","Vermont","50","28,111","4.6"
"Households living below the federal poverty level","2017","Vermont","50","10,755","7.0"
"Uninsured","2018","Vermont","50","24,988","4.0"
"Households living below the federal poverty level","2018","Vermont","50","9,660","6.2"
"Uninsured","2019","Vermont","50","27,741","4.5"
"Households living below the federal poverty level","2019","Vermont","50","9,057","5.8"
"Uninsured","2020 (COVID-19 Pandemic)","Vermont","50","25,505","4.1"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Vermont","50","6,650","4.3"
"Uninsured","2021","Vermont","50","23,375","3.7"
"Households living below the federal poverty level","2021","Vermont","50","10,397","6.3"
"Uninsured","2022","Vermont","50","24,801","3.9"
"Households living below the federal poverty level","2022","Vermont","50","10,856","6.6"
"Uninsured","2017","Virginia","51","729,179","8.8"
"Households living below the federal poverty level","2017","Virginia","51","148,478","7.1"
"Uninsured","2018","Virginia","51","731,469","8.8"
"Households living below the federal poverty level","2018","Virginia","51","148,696","7.1"
"Uninsured","2019","Virginia","51","658,286","7.9"
"Households living below the federal poverty level","2019","Virginia","51","136,160","6.5"
"Uninsured","2020 (COVID-19 Pandemic)","Virginia","51","605,047","7.2"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Virginia","51","119,748","5.8"
"Uninsured","2021","Virginia","51","574,178","6.8"
"Households living below the federal poverty level","2021","Virginia","51","149,381","6.9"
"Uninsured","2022","Virginia","51","545,005","6.5"
"Households living below the federal poverty level","2022","Virginia","51","162,201","7.4"
"Uninsured","2017","Washington","53","446,106","6.1"
"Households living below the federal poverty level","2017","Washington","53","130,199","7.1"
"Uninsured","2018","Washington","53","477,284","6.4"
"Households living below the federal poverty level","2018","Washington","53","118,417","6.3"
"Uninsured","2019","Washington","53","496,047","6.6"
"Households living below the federal poverty level","2019","Washington","53","116,740","6.2"
"Uninsured","2020 (COVID-19 Pandemic)","Washington","53","477,084","6.3"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Washington","53","115,840","6.1"
"Uninsured","2021","Washington","53","488,053","6.4"
"Households living below the federal poverty level","2021","Washington","53","125,910","6.5"
"Uninsured","2022","Washington","53","467,558","6.1"
"Households living below the federal poverty level","2022","Washington","53","125,803","6.5"
"Uninsured","2017","West Virginia","54","108,889","6.1"
"Households living below the federal poverty level","2017","West Virginia","54","65,077","14.1"
"Uninsured","2018","West Virginia","54","114,106","6.4"
"Households living below the federal poverty level","2018","West Virginia","54","60,048","13.0"
"Uninsured","2019","West Virginia","54","117,644","6.7"
"Households living below the federal poverty level","2019","West Virginia","54","52,222","11.1"
"Uninsured","2020 (COVID-19 Pandemic)","West Virginia","54","116,485","6.6"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","West Virginia","54","48,616","10.9"
"Uninsured","2021","West Virginia","54","106,817","6.1"
"Households living below the federal poverty level","2021","West Virginia","54","56,866","12.3"
"Uninsured","2022","West Virginia","54","103,070","5.9"
"Households living below the federal poverty level","2022","West Virginia","54","60,661","13.1"
"Uninsured","2017","Wisconsin","55","309,404","5.4"
"Households living below the federal poverty level","2017","Wisconsin","55","104,965","7.1"
"Uninsured","2018","Wisconsin","55","313,158","5.5"
"Households living below the federal poverty level","2018","Wisconsin","55","104,116","7.0"
"Uninsured","2019","Wisconsin","55","328,654","5.7"
"Households living below the federal poverty level","2019","Wisconsin","55","91,147","6.2"
"Uninsured","2020 (COVID-19 Pandemic)","Wisconsin","55","323,891","5.6"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Wisconsin","55","88,097","6.0"
"Uninsured","2021","Wisconsin","55","312,171","5.4"
"Households living below the federal poverty level","2021","Wisconsin","55","102,996","6.8"
"Uninsured","2022","Wisconsin","55","302,843","5.2"
"Households living below the federal poverty level","2022","Wisconsin","55","102,755","6.8"
"Uninsured","2017","Wyoming","56","69,715","12.3"
"Households living below the federal poverty level","2017","Wyoming","56","11,075","7.6"
"Uninsured","2018","Wyoming","56","59,337","10.5"
"Households living below the federal poverty level","2018","Wyoming","56","10,261","7.1"
"Uninsured","2019","Wyoming","56","70,053","12.3"
"Households living below the federal poverty level","2019","Wyoming","56","10,089","6.6"
"Uninsured","2020 (COVID-19 Pandemic)","Wyoming","56","64,701","11.3"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Wyoming","56","8,239","5.3"
"Uninsured","2021","Wyoming","56","69,308","12.2"
"Households living below the federal poverty level","2021","Wyoming","56","11,764","7.8"
"Uninsured","2022","Wyoming","56","65,619","11.5"
"Households living below the federal poverty level","2022","Wyoming","56","13,189","8.6"
