State,Effective Date,Valid Through Date,age_maj_men,age_maj_women,healthcare,healthcare_conditions,healthcare_conditions_text,healthcare_sti,healthcare_sticat Testing,healthcare_sticat Treatment,healthcare_sticat Prevention,healthcare_sticat N/A,healthcare_hiv,healthcare_hivcat Testing,healthcare_hivcat Treatment,healthcare_hivcat Prevention,healthcare_hivcat N/A,healthcare_mental,healthcare_sud,healthcare_confidential,healthcare_confidential_conditions,healthcare_disclose,healthcare_agemaj_men,healthcare_agemaj_women,stitest,stitest_conditions,stitest_conditions_text,stitest_confidential,stitest_confidential_conditions,stitest_disclose,stitest_disclose_result,stitest_agemaj_men,stitest_agemaj_women,stitreat,stitreat_conditions,stitreat_conditions_text,stitreat_confidential,stitreat_confidential_conditions,stitreat_disclose,stitreat_agemaj_men,stitreat_agemaj_women,stiprev,stiprev_conditions,stiprev_conditions_text,stiprev_confidential,stiprev_confidential_conditions,stiprev_disclose,stiprev_agemaj_men,stiprev_agemaj_women,sti_specific,sti_specific_hiv,sti_specific_text,hivtest,hivtest_conditions,hivtest_conditions_text,hivtest_confidential,hivtest_confidential_conditions,hivtest_disclose,hivtest_disclose_result,hivtest_agemaj_men,hivtest_agemaj_women,hivtreat,hivtreat_conditions,hivtreat_conditions_text,hivtreat_confidential,hivtreat_confidential_conditions,hivtreat_disclose,hivtreat_agemaj_men,hivtreat_agemaj_women,hivprev,hivprev_conditions,hivprev_conditions_text,hivprev_confidential,hivprev_confidential_conditions,hivprev_disclose,hivprev_agemaj_men,hivprev_agemaj_women,prep,prep_conditions,prep_conditions_text,prep_confidential,prep_confidential_conditions,prep_disclose,prep_agemaj_men,prep_agemaj_women,pep,pep_conditions,pep_conditions_text,eob,eob_conditions,eob_conditions_text,payor,payor_conditions,payor_conditions_text
South Carolina,6/16/2008,12/31/2021,18,18,0,0,"Surgical care must be deemed “essential to the health or life of such child in the opinion of the performing physician and a consultant physician if one is available”; Non-surgical care must be deemed necessary in the clinician's judgment, unless minor is 16 years of age or older",0,1,1,1,0,0,1,1,1,0,0,0,1,2,2,0,0,0,0,"Surgical care must be deemed “essential to the health or life of such child in the opinion of the performing physician and a consultant physician if one is available”; Non-surgical care must be deemed necessary in the clinician's judgment, unless minor is 16 years of age or older",1,2,2,2,0,0,0,0,"Surgical care must be deemed “essential to the health or life of such child in the opinion of the performing physician and a consultant physician if one is available”; Non-surgical care must be deemed necessary in the clinician's judgment, unless minor is 16 years of age or older",1,2,2,0,0,0,0,"Surgical care must be deemed “essential to the health or life of such child in the opinion of the performing physician and a consultant physician if one is available”; Non-surgical care must be deemed necessary in the clinician's judgment, unless minor is 16 years of age or older",1,2,2,0,0,1,2,N/A,0,0,"Surgical care must be deemed “essential to the health or life of such child in the opinion of the performing physician and a consultant physician if one is available”; Non-surgical care must be deemed necessary in the clinician's judgment, unless minor is 16 years of age or older",1,2,2,2,0,0,0,0,"Surgical care must be deemed “essential to the health or life of such child in the opinion of the performing physician and a consultant physician if one is available”; Non-surgical care must be deemed necessary in the clinician's judgment, unless minor is 16 years of age or older",1,2,2,0,0,0,0,"Surgical care must be deemed “essential to the health or life of such child in the opinion of the performing physician and a consultant physician if one is available”; Non-surgical care must be deemed necessary in the clinician's judgment, unless minor is 16 years of age or older",1,2,2,0,0,0,0,"Surgical care must be deemed “essential to the health or life of such child in the opinion of the performing physician and a consultant physician if one is available”; Non-surgical care must be deemed necessary in the clinician's judgment, unless minor is 16 years of age or older",1,2,2,0,0,0,0,"Surgical care must be deemed “essential to the health or life of such child in the opinion of the performing physician and a consultant physician if one is available”; Non-surgical care must be deemed necessary in the clinician's judgment, unless minor is 16 years of age or older",1,2,N/A,1,2,N/A
South Carolina,5/19/1981,6/15/2008,18,18,0,0,"Surgical care must be deemed “essential to the health or life of such child in the opinion of the performing physician and a consultant physician if one is available”; Non-surgical care must be deemed necessary in the clinician's judgment, unless minor is 16 years of age or older",0,1,1,1,0,0,1,1,1,0,0,0,1,2,2,0,0,0,0,"Surgical care must be deemed “essential to the health or life of such child in the opinion of the performing physician and a consultant physician if one is available”; Non-surgical care must be deemed necessary in the clinician's judgment, unless minor is 16 years of age or older",1,2,2,2,0,0,0,0,"Surgical care must be deemed “essential to the health or life of such child in the opinion of the performing physician and a consultant physician if one is available”; Non-surgical care must be deemed necessary in the clinician's judgment, unless minor is 16 years of age or older",1,2,2,0,0,0,0,"Surgical care must be deemed “essential to the health or life of such child in the opinion of the performing physician and a consultant physician if one is available”; Non-surgical care must be deemed necessary in the clinician's judgment, unless minor is 16 years of age or older",1,2,2,0,0,1,2,N/A,0,0,"Surgical care must be deemed “essential to the health or life of such child in the opinion of the performing physician and a consultant physician if one is available”; Non-surgical care must be deemed necessary in the clinician's judgment, unless minor is 16 years of age or older",1,2,2,2,0,0,0,0,"Surgical care must be deemed “essential to the health or life of such child in the opinion of the performing physician and a consultant physician if one is available”; Non-surgical care must be deemed necessary in the clinician's judgment, unless minor is 16 years of age or older",1,2,2,0,0,0,0,"Surgical care must be deemed “essential to the health or life of such child in the opinion of the performing physician and a consultant physician if one is available”; Non-surgical care must be deemed necessary in the clinician's judgment, unless minor is 16 years of age or older",1,2,2,0,0,2,2,N/A,2,2,2,26,26,0,0,"Surgical care must be deemed “essential to the health or life of such child in the opinion of the performing physician and a consultant physician if one is available”; Non-surgical care must be deemed necessary in the clinician's judgment, unless minor is 16 years of age or older",1,2,N/A,1,2,N/A
South Carolina,7/2/1976,5/18/1981,18,18,0,0,Surgical care must be deemed “essential to the health or life of such child in the opinion of the performing physician and a consultant physician if one is available”; Non-surgical care must be deemed necessary in the clinician's judgment,0,1,1,1,0,2,0,0,0,1,0,0,1,2,2,0,0,0,0,Surgical care must be deemed “essential to the health or life of such child in the opinion of the performing physician and a consultant physician if one is available”; Non-surgical care must be deemed necessary in the clinician's judgment,1,2,2,2,0,0,0,0,Surgical care must be deemed “essential to the health or life of such child in the opinion of the performing physician and a consultant physician if one is available”; Non-surgical care must be deemed necessary in the clinician's judgment,1,2,2,0,0,0,0,Surgical care must be deemed “essential to the health or life of such child in the opinion of the performing physician and a consultant physician if one is available”; Non-surgical care must be deemed necessary in the clinician's judgment,1,2,2,0,0,1,2,N/A,2,2,N/A,2,2,2,2,26,25,2,2,N/A,2,2,2,26,26,2,2,N/A,2,2,2,26,26,2,2,N/A,2,2,2,26,26,2,2,N/A,1,2,N/A,1,2,N/A
South Carolina,1/1/1976,7/1/1976,18,18,0,0,Surgical care must be deemed “essential to the health or life of such child in the opinion of the performing physician and a consultant physician if one is available”; Non-surgical care must be deemed necessary in the clinician's judgment,0,1,1,1,0,2,0,0,0,1,0,0,1,2,2,0,0,0,0,Surgical care must be deemed “essential to the health or life of such child in the opinion of the performing physician and a consultant physician if one is available”; Non-surgical care must be deemed necessary in the clinician's judgment,1,2,2,2,0,0,0,0,Surgical care must be deemed “essential to the health or life of such child in the opinion of the performing physician and a consultant physician if one is available”; Non-surgical care must be deemed necessary in the clinician's judgment,1,2,2,0,0,0,0,Surgical care must be deemed “essential to the health or life of such child in the opinion of the performing physician and a consultant physician if one is available”; Non-surgical care must be deemed necessary in the clinician's judgment,1,2,2,0,0,1,2,N/A,2,2,N/A,2,2,2,2,26,25,2,2,N/A,2,2,2,26,26,2,2,N/A,2,2,2,26,26,2,2,N/A,2,2,2,26,26,2,2,N/A,1,2,N/A,1,2,N/A
South Dakota,1/1/1983,12/31/2021,18,18,0,0,Parent must not be immediately available and physician must perceive that delay to get consent would threaten life or health,0,1,1,1,0,0,1,1,1,0,0,0,1,2,2,0,0,0,1,N/A,1,2,2,2,0,0,0,1,N/A,0,1,0,0,0,0,1,N/A,1,2,2,0,0,0,1,"Syphilis, Gonorrhea, Chancroid",0,1,N/A,1,2,2,2,0,0,0,1,N/A,0,1,0,0,0,0,1,N/A,1,2,2,0,0,0,1,N/A,1,2,2,0,0,0,1,N/A,1,2,N/A,1,2,N/A
South Dakota,1/1/1977,12/31/1982,18,18,1,2,N/A,2,0,0,0,1,2,0,0,0,1,2,2,2,2,2,18,18,0,1,N/A,1,2,2,2,0,0,0,1,N/A,0,1,0,0,0,0,1,N/A,1,2,2,0,0,0,1,"Syphilis, Gonorrhea, Chancroid",0,1,N/A,1,2,2,2,0,0,0,1,N/A,0,1,0,0,0,0,1,N/A,1,2,2,0,0,2,2,N/A,2,2,2,26,26,2,2,N/A,1,2,N/A,1,2,N/A
South Dakota,1/1/1972,12/31/1976,18,18,1,2,N/A,2,0,0,0,1,2,0,0,0,1,2,2,2,2,2,18,18,0,1,N/A,1,2,2,2,0,0,0,1,N/A,0,1,0,0,0,0,1,N/A,1,2,2,0,0,1,2,N/A,2,2,N/A,2,2,2,2,26,25,2,2,N/A,2,2,2,26,26,2,2,N/A,2,2,2,26,26,2,2,N/A,2,2,2,26,26,2,2,N/A,1,2,N/A,1,2,N/A
South Dakota,1/1/1971,12/31/1971,21,18,1,2,N/A,2,0,0,0,1,2,0,0,0,1,2,2,2,2,2,18,18,0,1,N/A,1,2,2,2,0,0,0,1,N/A,0,1,0,0,0,0,1,N/A,1,2,2,0,0,1,2,N/A,2,2,N/A,2,2,2,2,26,25,2,2,N/A,2,2,2,26,26,2,2,N/A,2,2,2,26,26,2,2,N/A,2,2,2,26,26,2,2,N/A,1,2,N/A,1,2,N/A
South Dakota,1/1/1939,12/31/1970,21,18,1,2,N/A,2,0,0,0,1,2,0,0,0,1,2,2,2,2,2,21,18,1,2,N/A,2,2,2,2,21,18,1,2,N/A,2,2,2,21,18,1,2,N/A,2,2,2,21,18,1,2,N/A,2,2,N/A,2,2,2,2,26,25,2,2,N/A,2,2,2,26,26,2,2,N/A,2,2,2,26,26,2,2,N/A,2,2,2,26,26,2,2,N/A,1,2,N/A,1,2,N/A
Tennessee,7/10/2003,12/31/2021,18,18,0,1,N/A,0,1,1,1,0,0,1,1,1,0,0,0,1,2,2,14,14,0,1,N/A,0,1,0,0,0,0,0,1,N/A,0,1,0,0,0,0,1,N/A,1,2,2,14,14,1,2,N/A,0,1,N/A,0,1,0,0,0,0,0,1,N/A,0,1,0,0,0,0,1,N/A,1,2,2,14,14,0,1,N/A,1,2,2,14,14,0,1,N/A,1,2,N/A,1,2,N/A
Tennessee,3/30/1972,7/9/2003,18,18,1,2,N/A,2,0,0,0,1,2,0,0,0,1,2,2,2,2,2,18,18,0,1,N/A,0,1,0,0,0,0,0,1,N/A,0,1,0,0,0,1,2,N/A,2,2,2,18,18,1,2,N/A,0,1,N/A,0,1,0,0,0,0,0,1,N/A,0,1,0,0,0,1,2,N/A,2,2,2,18,18,2,2,N/A,2,2,2,26,26,2,2,N/A,1,2,N/A,1,2,N/A
Tennessee,1/1/1921,3/29/1972,18,18,1,2,N/A,2,0,0,0,1,2,0,0,0,1,2,2,2,2,2,18,18,0,1,N/A,0,1,0,0,0,0,0,1,N/A,0,1,0,0,0,1,2,N/A,2,2,2,18,18,1,2,N/A,2,2,N/A,2,2,2,2,26,25,2,2,N/A,2,2,2,26,26,2,2,N/A,2,2,2,26,26,2,2,N/A,2,2,2,26,26,2,2,N/A,1,2,N/A,1,2,N/A
Texas,4/20/1995,12/31/2021,18,18,1,2,N/A,2,0,0,0,1,2,0,0,0,1,2,2,2,2,2,18,18,0,1,N/A,0,1,0,0,0,0,0,1,N/A,0,1,0,0,0,1,2,N/A,2,2,2,18,18,0,0,Chancroid; Gonorrhea; Hepatitis A-C; Syphilis,0,1,N/A,0,1,0,0,0,0,0,1,N/A,0,1,0,0,0,1,2,N/A,2,2,2,18,18,1,2,N/A,2,2,2,18,18,1,2,N/A,1,2,N/A,1,2,N/A
Texas,9/1/1989,4/19/1995,18,18,1,2,N/A,2,0,0,0,1,2,0,0,0,1,2,2,2,2,2,18,18,1,2,N/A,2,2,2,2,18,18,1,2,N/A,2,2,2,18,18,1,2,N/A,2,2,2,18,18,0,0,Chancroid; Gonorrhea; Hepatitis A-C; Syphilis,1,2,N/A,2,2,2,2,18,18,1,2,N/A,2,2,2,18,18,1,2,N/A,2,2,2,18,18,2,2,N/A,2,2,2,26,26,2,2,N/A,1,2,N/A,1,2,N/A
