"Date Printed: Monday, March 9, 2026 3:22:13 PM"
Title: "AIDS classifications | AIDS deaths | AIDS prevalence | Estimated HIV incidence | Estimated HIV prevalence (undiagnosed and diagnosed) | HIV deaths | HIV diagnoses | HIV prevalence | HIV viral suppression | Knowledge of Status | Linkage to HIV medical care | PrEP coverage and number of persons prescribed | Receipt of HIV medical care | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories""
Footnote(s): Data for 2024 and 2025 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Small numbers and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category are adjusted for missing information. See Technical notes for more details on data availability and stratifications.
   Death data for the year 2023 are preliminary and based on death data received by CDC as of December 2024. Deaths in 2020 and beyond should be interpreted with caution considering the impact of the COVID-19 pandemic. For additional information͵ see <a href=https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm>https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm</a>. Death data based on residence at death. See Technical Notes for death reporting by jurisdiction.
   Prevalence data for the year 2023 based on preliminary death data received by CDC as of December 2024 and should be interpreted with caution. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
   Linkage to HIV medical care is based on cases diagnosed during the year queried.
   Receipt of care is based on persons living with diagnosed HIV at the end of the year queried.
   Viral suppression is based on persons living with diagnosed HIV at the end of the year queried.
   Estimates with an RSE>50% are statistically unreliable and reported as data not available.
   * Estimates with an RSE of 30%–50% should be used with caution because they meet a lower standard of reliability.PrEP coverage͵ reported as a percentage͵ is calculated as the number of persons aged ≥16 years classified as having been prescribed PrEP divided by the estimated number of persons aged ≥16 years who had indications for PrEP. To allow for comparison with other HIV indicators͵ data are presented for ≥13‒ and 13‒24-year-olds͵ but represent ≥16‒ and 16‒24-years-olds͵ respectively. CDC has paused PrEP coverage reporting to determine the best methodology for calculating PrEP coverage͵ and to update PrEP coverage estimates using updated methods and sources. Until updated PrEP coverage estimates are published͵ CDC advises against citing specific PrEP coverage data points͵ as historical estimates will be updated.
   ^ Jurisdiction with incomplete reporting of deaths for most recent year.
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Cases (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE)
"AIDS prevalence","2022","Massachusetts","25","10,962","181.4","NA"
"AIDS classifications","2022","Massachusetts","25","212","3.5","NA"
"AIDS deaths","2022","Massachusetts","25","262","4.3","NA"
"HIV deaths","2022","Massachusetts","25","369","6.1","NA"
"HIV diagnoses","2022","Massachusetts","25","443","7.3","NA"
"Linkage to HIV medical care","2022","Massachusetts","25","387","NA","88.4"
"AIDS classifications","2021","Massachusetts","25","208","3.4","NA"
"AIDS deaths","2021","Massachusetts","25","243","4.0","NA"
"HIV deaths","2021","Massachusetts","25","344","5.7","NA"
"HIV diagnoses","2021","Massachusetts","25","442","7.3","NA"
"Linkage to HIV medical care","2021","Massachusetts","25","403","NA","91.6"
"Receipt of HIV medical care","2021","Michigan","26","13,486","NA","81.0"
"PrEP coverage and number of persons prescribed","2021","Michigan","26","5,852","NA","19.8"
"Knowledge of Status","2021","Michigan","26","17,056","NA","86.7 (82.5 - 91.3, 2.6)"
"HIV viral suppression","2021","Michigan","26","11,987","NA","72.0"
"HIV prevalence","2021","Michigan","26","17,246","202.1","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2021","Michigan","26","19,700 (18,700 - 20,700, 2.6)","230.2 (218.5 - 241.9)","NA"
"Estimated HIV incidence","2021","Michigan","26","600 (340 - 860, 22.3)","7.0 (3.9 - 10.1)","NA"
"AIDS prevalence","2021","Michigan","26","8,264","96.9","NA"
"Receipt of HIV medical care","2022","Michigan","26","13,754","NA","81.2"
"PrEP coverage and number of persons prescribed","2022","Michigan","26","7,121","NA","24.1"
"Knowledge of Status","2022","Michigan","26","17,384","NA","86.8 (82.5 - 91.6, 2.7)"
"HIV viral suppression","2022","Michigan","26","12,196","NA","72.0"
"HIV prevalence","2022","Michigan","26","17,575","205.7","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2022","Michigan","26","20,000 (19,000 - 21,100, 2.7)","233.9 (221.6 - 246.2)","NA"
"Estimated HIV incidence","2022","Michigan","26","600 (280 - 920, 27.1)","7.0 (3.3 - 10.8)","NA"
"AIDS prevalence","2022","Michigan","26","8,318","97.4","NA"
"AIDS classifications","2022","Michigan","26","291","3.4","NA"
"AIDS deaths","2022","Michigan","26","279","3.3","NA"
"HIV deaths","2022","Michigan","26","377","4.4","NA"
"HIV diagnoses","2022","Michigan","26","626","7.3","NA"
"Linkage to HIV medical care","2022","Michigan","26","541","NA","86.0"
"AIDS classifications","2021","Michigan","26","272","3.2","NA"
"AIDS deaths","2021","Michigan","26","247","2.9","NA"
"HIV deaths","2021","Michigan","26","336","3.9","NA"
"HIV diagnoses","2021","Michigan","26","641","7.5","NA"
"Linkage to HIV medical care","2021","Michigan","26","547","NA","86.4"
"Receipt of HIV medical care","2021","Minnesota","27","6,531","NA","73.3"
"PrEP coverage and number of persons prescribed","2021","Minnesota","27","5,251","NA","24.2"
"Knowledge of Status","2021","Minnesota","27","9,051","NA","88.6 (83.4 - 94.6, 3.2)"
"HIV viral suppression","2021","Minnesota","27","5,962","NA","66.9"
"HIV prevalence","2021","Minnesota","27","8,763","183.0","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2021","Minnesota","27","10,200 (9,600 - 10,900, 3.2)","213.1 (199.7 - 226.4)","NA"
"Estimated HIV incidence","2021","Minnesota","27","210 (50 - 370, 38.9*)","4.4 (1.0 - 7.7)","NA"
"AIDS prevalence","2021","Minnesota","27","3,904","81.5","NA"
"Receipt of HIV medical care","2022","Minnesota","27","7,138","NA","77.7"
"PrEP coverage and number of persons prescribed","2022","Minnesota","27","6,579","NA","30.3"
"Knowledge of Status","2022","Minnesota","27","9,321","NA","89.2 (83.8 - 95.4, 3.3)"
"HIV viral suppression","2022","Minnesota","27","6,304","NA","68.6"
"HIV prevalence","2022","Minnesota","27","9,017","188.1","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2022","Minnesota","27","10,400 (9,800 - 11,100, 3.3)","217.3 (203.3 - 231.3)","NA"
"Estimated HIV incidence","2022","Minnesota","27","220 (10 - 420, 47.6*)","4.5 (0.3 - 8.7)","NA"
"AIDS prevalence","2022","Minnesota","27","3,943","82.2","NA"
"AIDS classifications","2022","Minnesota","27","117","2.4","NA"
"AIDS deaths","2022","Minnesota","27","91","1.9","NA"
"HIV deaths","2022","Minnesota","27","128","2.7","NA"
"HIV diagnoses","2022","Minnesota","27","262","5.5","NA"
"Linkage to HIV medical care","2022","Minnesota","27","224","NA","85.8"
"AIDS classifications","2021","Minnesota","27","120","2.5","NA"
"AIDS deaths","2021","Minnesota","27","69","1.4","NA"
"HIV deaths","2021","Minnesota","27","111","2.3","NA"
"HIV diagnoses","2021","Minnesota","27","286","6.0","NA"
"Linkage to HIV medical care","2021","Minnesota","27","254","NA","85.5"
"Receipt of HIV medical care","2021","Mississippi","28","6,727","NA","71.0"
"PrEP coverage and number of persons prescribed","2021","Mississippi","28","1,591","NA","35.1"
"Knowledge of Status","2021","Mississippi","28","9,694","NA","82.5 (77.3 - 88.6, 3.5)"
"HIV viral suppression","2021","Mississippi","28","5,646","NA","59.6"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2021","Mississippi","28","11,700 (10,900 - 12,500, 3.5)","474.6 (442.1 - 507.1)","NA"
"Estimated HIV incidence","2021","Mississippi","28","470 (220 - 730, 27.0)","19.2 (9.0 - 29.3)","NA"
"Receipt of HIV medical care","2022","Mississippi","28","4,731","NA","49.9"
"PrEP coverage and number of persons prescribed","2022","Mississippi","28","1,727","NA","38.1"
"Knowledge of Status","2022","Mississippi","28","9,807","NA","82.7 (77.1 - 89.2, 3.7)"
"HIV viral suppression","2022","Mississippi","28","3,188","NA","33.6"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2022","Mississippi","28","11,900 (11,000 - 12,700, 3.7)","479.7 (444.7 - 514.7)","NA"
"Estimated HIV incidence","2022","Mississippi","28","430 (110 - 740, 37.4*)","17.3 (4.6 - 30.0)","NA"
"AIDS classifications","2022","Mississippi","28","168","6.8","NA"
"HIV diagnoses","2022","Mississippi","28","498","20.2","NA"
"Linkage to HIV medical care","2022","Mississippi","28","235","NA","52.5"
"HIV prevalence","2022","Mississippi^","28","9,970","404.4","NA"
"AIDS prevalence","2022","Mississippi^","28","4,630","187.8","NA"
"AIDS deaths","2022","Mississippi^","28","150","6.1","NA"
"HIV deaths","2022","Mississippi^","28","204","8.3","NA"
"AIDS classifications","2021","Mississippi","28","180","7.3","NA"
"HIV diagnoses","2021","Mississippi","28","461","18.7","NA"
"Linkage to HIV medical care","2021","Mississippi","28","299","NA","71.4"
"HIV prevalence","2021","Mississippi^","28","9,813","397.5","NA"
"AIDS prevalence","2021","Mississippi^","28","4,651","188.4","NA"
"AIDS deaths","2021","Mississippi^","28","144","5.8","NA"
"HIV deaths","2021","Mississippi^","28","204","8.3","NA"
"Receipt of HIV medical care","2021","Missouri","29","9,697","NA","77.1"
"PrEP coverage and number of persons prescribed","2021","Missouri","29","4,163","NA","22.7"
"Knowledge of Status","2021","Missouri","29","12,905","NA","87.9 (83.3 - 93.0, 2.8)"
"HIV viral suppression","2021","Missouri","29","8,403","NA","66.8"
"HIV prevalence","2021","Missouri","29","12,957","249.5","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2021","Missouri","29","14,700 (13,900 - 15,500, 2.8)","282.1 (266.5 - 297.8)","NA"
"Estimated HIV incidence","2021","Missouri","29","490 (290 - 690, 20.6)","9.4 (5.6 - 13.2)","NA"
"AIDS prevalence","2021","Missouri","29","6,305","121.4","NA"
"Receipt of HIV medical care","2022","Missouri","29","9,805","NA","76.8"
"PrEP coverage and number of persons prescribed","2022","Missouri","29","5,134","NA","27.9"
"Knowledge of Status","2022","Missouri","29","13,158","NA","88.0 (83.3 - 93.3, 2.9)"
"HIV viral suppression","2022","Missouri","29","8,303","NA","65.1"
"HIV prevalence","2022","Missouri","29","13,177","253.0","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2022","Missouri","29","15,000 (14,100 - 15,800, 2.9)","286.4 (270.2 - 302.7)","NA"
"Estimated HIV incidence","2022","Missouri","29","480 (250 - 700, 24.5)","9.1 (4.7 - 13.5)","NA"
"AIDS prevalence","2022","Missouri","29","6,308","121.1","NA"
"AIDS classifications","2022","Missouri","29","202","3.9","NA"
"AIDS deaths","2022","Missouri","29","199","3.8","NA"
"HIV deaths","2022","Missouri","29","274","5.3","NA"
"HIV diagnoses","2022","Missouri","29","508","9.8","NA"
"Linkage to HIV medical care","2022","Missouri","29","415","NA","81.1"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2022","Montana","30","790 (710 - 970, 11.5)","82.4 (74.3 - 101.0)","NA"
"AIDS classifications","2022","Montana","30","6","0.6","NA"
"AIDS deaths","2022","Montana","30","10","1.0","NA"
"AIDS prevalence","2022","Montana","30","363","37.9","NA"
"Estimated HIV incidence","2022","Montana","30","Data not available","Data not available","NA"
"HIV deaths","2022","Montana","30","13","1.4","NA"
"HIV diagnoses","2022","Montana","30","15","1.6","NA"
"HIV prevalence","2022","Montana","30","721","75.3","NA"
"HIV viral suppression","2022","Montana","30","562","NA","79.2"
"Knowledge of Status","2022","Montana","30","713","NA","90.2 (73.5 - 100.0, 7.5)"
"Linkage to HIV medical care","2022","Montana","30","8","NA","72.7"
"PrEP coverage and number of persons prescribed","2022","Montana","30","533","NA","23.3"
"Receipt of HIV medical care","2022","Montana","30","599","NA","84.4"
"Receipt of HIV medical care","2022","Nebraska","31","1,805","NA","77.6"
"PrEP coverage and number of persons prescribed","2022","Nebraska","31","1,260","NA","57.8"
"Knowledge of Status","2022","Nebraska","31","2,392","NA","83.8 (73.6 - 97.2, 7.2)"
"HIV viral suppression","2022","Nebraska","31","1,611","NA","69.2"
"HIV prevalence","2022","Nebraska","31","2,431","149.4","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2022","Nebraska","31","2,900 (2,500 - 3,300, 7.1)","175.1 (150.9 - 199.4)","NA"
"AIDS prevalence","2022","Nebraska","31","1,128","69.3","NA"
"AIDS classifications","2022","Nebraska","31","28","1.7","NA"
"AIDS deaths","2022","Nebraska","31","25","1.5","NA"
"Estimated HIV incidence","2022","Nebraska","31","Data not available","Data not available","NA"
"HIV deaths","2022","Nebraska","31","30","1.8","NA"
"HIV diagnoses","2022","Nebraska","31","90","5.5","NA"
"Linkage to HIV medical care","2022","Nebraska","31","78","NA","85.7"
"Receipt of HIV medical care","2022","Nevada","32","8,340","NA","74.2"
"PrEP coverage and number of persons prescribed","2022","Nevada","32","5,681","NA","49.9"
"Knowledge of Status","2022","Nevada","32","11,670","NA","82.5 (77.7 - 87.8, 3.1)"
"HIV viral suppression","2022","Nevada","32","7,170","NA","63.8"
"HIV prevalence","2022","Nevada","32","11,735","436.0","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2022","Nevada","32","14,100 (13,300 - 15,000, 3.1)","525.1 (493.0 - 557.1)","NA"
"Estimated HIV incidence","2022","Nevada","32","480 (150 - 800, 34.6*)","17.7 (5.7 - 29.7)","NA"
"AIDS prevalence","2022","Nevada","32","5,159","191.7","NA"
"AIDS classifications","2022","Nevada","32","204","7.6","NA"
"AIDS deaths","2022","Nevada","32","154","5.7","NA"
"HIV deaths","2022","Nevada","32","196","7.3","NA"
"HIV diagnoses","2022","Nevada","32","537","20.0","NA"
"Linkage to HIV medical care","2022","Nevada","32","467","NA","88.4"
"Receipt of HIV medical care","2022","New Hampshire","33","1,054","NA","77.6"
"PrEP coverage and number of persons prescribed","2022","New Hampshire","33","1,038","NA","34.4"
"Knowledge of Status","2022","New Hampshire","33","1,358","NA","90.6 (77.3 - 100.0, 6.4)"
"HIV prevalence","2022","New Hampshire","33","1,375","112.4","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2022","New Hampshire","33","1,500 (1,400 - 1,800, 8.7)","122.7 (111.2 - 143.8)","NA"
"AIDS classifications","2022","New Hampshire","33","7","0.6","NA"
"AIDS deaths","2022","New Hampshire","33","18","1.5","NA"
"AIDS prevalence","2022","New Hampshire","33","650","53.1","NA"
"Estimated HIV incidence","2022","New Hampshire","33","Data not available","Data not available","NA"
"HIV deaths","2022","New Hampshire","33","28","2.3","NA"
"HIV diagnoses","2022","New Hampshire","33","28","2.3","NA"
"HIV viral suppression","2022","New Hampshire","33","964","NA","71.0"
"Linkage to HIV medical care","2022","New Hampshire","33","20","NA","71.4"
"PrEP coverage and number of persons prescribed","2022","New Jersey","34","8,934","NA","35.3"
"Knowledge of Status","2022","New Jersey","34","34,807","NA","88.7 (85.0 - 92.7, 2.2)"
"HIV prevalence","2022","New Jersey","34","34,967","445.7","NA"
"HIV diagnoses","2022","New Jersey","34","1,063","13.5","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2022","New Jersey","34","39,200 (37,500 - 40,900, 2.2)","499.1 (477.5 - 520.6)","NA"
"Estimated HIV incidence","2022","New Jersey","34","790 (390 - 1,200, 25.8)","10.1 (5.0 - 15.2)","NA"
"AIDS prevalence","2022","New Jersey","34","16,988","216.5","NA"
"AIDS classifications","2022","New Jersey","34","456","5.8","NA"
"AIDS deaths","2022","New Jersey","34","505","6.4","NA"
"HIV deaths","2022","New Jersey","34","690","8.8","NA"
"HIV viral suppression","2022","New Jersey","34","Data not available","NA","Data not available"
"Linkage to HIV medical care","2022","New Jersey","34","Data not available","NA","Data not available"
"Receipt of HIV medical care","2022","New Jersey","34","Data not available","NA","Data not available"
"Receipt of HIV medical care","2022","New Mexico","35","2,925","NA","75.1"
"PrEP coverage and number of persons prescribed","2022","New Mexico","35","2,032","NA","29.9"
"Knowledge of Status","2022","New Mexico","35","4,004","NA","87.3 (79.3 - 97.1, 5.2)"
"HIV viral suppression","2022","New Mexico","35","2,668","NA","68.5"
"HIV prevalence","2022","New Mexico","35","4,058","225.8","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2022","New Mexico","35","4,600 (4,100 - 5,100, 5.2)","255.2 (229.4 - 281.1)","NA"
"AIDS prevalence","2022","New Mexico","35","2,006","111.6","NA"
"AIDS classifications","2022","New Mexico","35","54","3.0","NA"
"AIDS deaths","2022","New Mexico","35","53","2.9","NA"
"Estimated HIV incidence","2022","New Mexico","35","Data not available","Data not available","NA"
"HIV deaths","2022","New Mexico","35","74","4.1","NA"
"HIV diagnoses","2022","New Mexico","35","149","8.3","NA"
"Linkage to HIV medical care","2022","New Mexico","35","83","NA","88.3"
"Receipt of HIV medical care","2022","New York","36","88,731","NA","72.4"
"PrEP coverage and number of persons prescribed","2022","New York","36","46,046","NA","63.4"
"Linkage to HIV medical care","2022","New York","36","1,923","NA","86.4"
"Knowledge of Status","2022","New York","36","122,482","NA","93.4 (91.5 - 95.3, 1.0)"
"HIV viral suppression","2022","New York","36","79,733","NA","65.1"
"HIV prevalence","2022","New York","36","124,161","738.6","NA"
"HIV diagnoses","2022","New York","36","2,221","13.2","NA"
"HIV deaths","2022","New York","36","2,102","12.5","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2022","New York","36","131,200 (128,500 - 133,800, 1.0)","778.8 (763.1 - 794.4)","NA"
"Estimated HIV incidence","2022","New York","36","1,700 (1,100 - 2,200, 17.1)","9.8 (6.5 - 13.1)","NA"
"AIDS prevalence","2022","New York","36","67,426","401.1","NA"
"AIDS deaths","2022","New York","36","1,672","9.9","NA"
"AIDS classifications","2022","New York","36","1,238","7.4","NA"
"Receipt of HIV medical care","2022","North Carolina","37","25,581","NA","76.0"
"PrEP coverage and number of persons prescribed","2022","North Carolina","37","9,976","NA","30.7"
"Linkage to HIV medical care","2022","North Carolina","37","1,084","NA","80.1"
"Knowledge of Status","2022","North Carolina","37","34,612","NA","86.8 (83.9 - 89.9, 1.8)"
"HIV viral suppression","2022","North Carolina","37","21,924","NA","65.1"
"HIV prevalence","2022","North Carolina","37","34,898","384.8","NA"
"HIV diagnoses","2022","North Carolina","37","1,357","15.0","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2022","North Carolina","37","39,900 (38,500 - 41,300, 1.8)","438.5 (423.3 - 453.6)","NA"
"Estimated HIV incidence","2022","North Carolina","37","1,000 (640 - 1,400, 19.6)","11.4 (7.0 - 15.8)","NA"
"AIDS prevalence","2022","North Carolina","37","15,107","166.6","NA"
"AIDS classifications","2022","North Carolina","37","646","7.1","NA"
"AIDS deaths","2022","North Carolina","37","439","4.8","NA"
"HIV deaths","2022","North Carolina","37","695","7.7","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2022","North Dakota","38","830 (550 - 1,100, 16.8)","128.2 (85.8 - 170.5)","NA"
"AIDS classifications","2022","North Dakota","38","12","1.9","NA"
"AIDS deaths","2022","North Dakota","38","9","1.4","NA"
"AIDS prevalence","2022","North Dakota","38","236","36.6","NA"
"Estimated HIV incidence","2022","North Dakota","38","Data not available","Data not available","NA"
"HIV deaths","2022","North Dakota","38","11","1.7","NA"
"HIV diagnoses","2022","North Dakota","38","36","5.6","NA"
"HIV prevalence","2022","North Dakota","38","542","84.0","NA"
"HIV viral suppression","2022","North Dakota","38","223","NA","43.9"
"Knowledge of Status","2022","North Dakota","38","536","NA","64.7 (48.6 - 96.6, 18.9)"
"Linkage to HIV medical care","2022","North Dakota","38","34","NA","89.5"
"PrEP coverage and number of persons prescribed","2022","North Dakota","38","338","NA","22.2"
"Receipt of HIV medical care","2022","North Dakota","38","393","NA","77.4"
"Receipt of HIV medical care","2022","Ohio","39","18,110","NA","76.6"
"PrEP coverage and number of persons prescribed","2022","Ohio","39","10,338","NA","25.6"
"Knowledge of Status","2022","Ohio","39","24,250","NA","85.2 (81.4 - 89.2, 2.3)"
"HIV viral suppression","2022","Ohio","39","15,970","NA","67.5"
"HIV prevalence","2022","Ohio","39","24,439","245.9","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2022","Ohio","39","28,500 (27,200 - 29,800, 2.3)","286.0 (272.9 - 299.0)","NA"
"Estimated HIV incidence","2022","Ohio","39","880 (350 - 1,400, 30.4*)","8.8 (3.6 - 14.1)","NA"
"AIDS prevalence","2022","Ohio","39","11,124","111.9","NA"
"AIDS classifications","2022","Ohio","39","403","4.1","NA"
"AIDS deaths","2022","Ohio","39","321","3.2","NA"
"HIV deaths","2022","Ohio","39","452","4.5","NA"
"HIV diagnoses","2022","Ohio","39","851","8.6","NA"
"Linkage to HIV medical care","2022","Ohio","39","699","NA","81.8"
"Receipt of HIV medical care","2022","Oklahoma","40","5,216","NA","75.7"
"PrEP coverage and number of persons prescribed","2022","Oklahoma","40","2,772","NA","25.1"
"Knowledge of Status","2022","Oklahoma","40","7,189","NA","80.8 (74.8 - 87.8, 4.1)"
"HIV viral suppression","2022","Oklahoma","40","4,383","NA","63.6"
"HIV prevalence","2022","Oklahoma","40","7,247","217.1","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2022","Oklahoma","40","8,900 (8,200 - 9,600, 4.1)","265.9 (244.6 - 287.2)","NA"
"Estimated HIV incidence","2022","Oklahoma","40","380 (130 - 630, 34.0*)","11.4 (3.8 - 19.0)","NA"
"AIDS prevalence","2022","Oklahoma","40","3,199","95.8","NA"
"AIDS classifications","2022","Oklahoma","40","164","4.9","NA"
"AIDS deaths","2022","Oklahoma","40","118","3.5","NA"
"HIV deaths","2022","Oklahoma","40","161","4.8","NA"
"HIV diagnoses","2022","Oklahoma","40","396","11.9","NA"
"Linkage to HIV medical care","2022","Oklahoma","40","318","NA","80.7"
"Receipt of HIV medical care","2022","Oregon","41","6,323","NA","86.5"
"PrEP coverage and number of persons prescribed","2022","Oregon","41","6,053","NA","30.6"
"Knowledge of Status","2022","Oregon","41","7,498","NA","88.7 (82.2 - 96.3, 4.1)"
"HIV viral suppression","2022","Oregon","41","5,735","NA","78.4"
"HIV prevalence","2022","Oregon","41","7,532","206.3","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2022","Oregon","41","8,500 (7,800 - 9,100, 4.0)","231.1 (212.8 - 249.5)","NA"
"AIDS prevalence","2022","Oregon","41","3,812","104.4","NA"
"AIDS classifications","2022","Oregon","41","100","2.7","NA"
"AIDS deaths","2022","Oregon","41","140","3.8","NA"
"Estimated HIV incidence","2022","Oregon","41","Data not available","Data not available","NA"
"HIV deaths","2022","Oregon","41","181","5.0","NA"
"HIV diagnoses","2022","Oregon","41","250","6.8","NA"
"Linkage to HIV medical care","2022","Oregon","41","206","NA","82.4"
"Knowledge of Status","2022","Pennsylvania","42","36,639","NA","90.7 (87.6 - 94.1, 1.8)"
"HIV viral suppression","2022","Pennsylvania","42","22,762","NA","63.1"
"HIV prevalence","2022","Pennsylvania","42","37,204","334.7","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2022","Pennsylvania","42","40,400 (38,900 - 41,800, 1.8)","362.7 (349.8 - 375.6)","NA"
"Estimated HIV incidence","2022","Pennsylvania","42","740 (390 - 1,100, 23.8)","6.6 (3.5 - 9.7)","NA"
"AIDS prevalence","2022","Pennsylvania","42","19,202","172.7","NA"
"AIDS classifications","2022","Pennsylvania","42","489","4.4","NA"
"AIDS deaths","2022","Pennsylvania","42","541","4.9","NA"
"HIV deaths","2022","Pennsylvania","42","750","6.7","NA"
"HIV diagnoses","2022","Pennsylvania","42","949","8.5","NA"
"AIDS classifications","2021","Missouri","29","222","4.3","NA"
"AIDS deaths","2021","Missouri","29","208","4.0","NA"
"HIV deaths","2021","Missouri","29","279","5.4","NA"
"HIV diagnoses","2021","Missouri","29","544","10.5","NA"
"Linkage to HIV medical care","2021","Missouri","29","427","NA","77.8"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2021","Montana","30","780 (710 - 940, 10.4)","82.4 (75.5 - 99.3)","NA"
"AIDS classifications","2021","Montana","30","9","1.0","NA"
"AIDS deaths","2021","Montana","30","8","0.9","NA"
"AIDS prevalence","2021","Montana","30","362","38.5","NA"
"Estimated HIV incidence","2021","Montana","30","Data not available","Data not available","NA"
"HIV deaths","2021","Montana","30","13","1.4","NA"
"HIV diagnoses","2021","Montana","30","21","2.2","NA"
"HIV prevalence","2021","Montana","30","713","75.8","NA"
"HIV viral suppression","2021","Montana","30","564","NA","80.8"
"Knowledge of Status","2021","Montana","30","712","NA","91.6 (76.1 - 100.0, 6.7)"
"Linkage to HIV medical care","2021","Montana","30","21","NA","95.5"
"PrEP coverage and number of persons prescribed","2021","Montana","30","392","NA","17.1"
"Receipt of HIV medical care","2021","Montana","30","614","NA","88.0"
"Receipt of HIV medical care","2021","Nebraska","31","1,751","NA","77.0"
"Knowledge of Status","2021","Nebraska","31","2,327","NA","84.4 (74.8 - 96.9, 6.7)"
"HIV viral suppression","2021","Nebraska","31","1,541","NA","67.8"
"HIV prevalence","2021","Nebraska","31","2,359","145.6","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2021","Nebraska","31","2,800 (2,400 - 3,100, 6.6)","169.8 (147.9 - 191.7)","NA"
"AIDS prevalence","2021","Nebraska","31","1,124","69.4","NA"
"AIDS classifications","2021","Nebraska","31","40","2.5","NA"
"AIDS deaths","2021","Nebraska","31","31","1.9","NA"
"Estimated HIV incidence","2021","Nebraska","31","Data not available","Data not available","NA"
"HIV deaths","2021","Nebraska","31","40","2.5","NA"
"HIV diagnoses","2021","Nebraska","31","106","6.5","NA"
"Linkage to HIV medical care","2021","Nebraska","31","88","NA","83.8"
"PrEP coverage and number of persons prescribed","2021","Nebraska","31","991","NA","45.5"
"Receipt of HIV medical care","2021","Nevada","32","8,033","NA","73.6"
"PrEP coverage and number of persons prescribed","2021","Nevada","32","4,882","NA","42.9"
"Knowledge of Status","2021","Nevada","32","11,288","NA","82.0 (77.5 - 87.0, 3.0)"
"HIV viral suppression","2021","Nevada","32","6,971","NA","63.8"
"HIV prevalence","2021","Nevada","32","11,350","427.1","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2021","Nevada","32","13,800 (13,000 - 14,600, 3.0)","517.5 (487.5 - 547.5)","NA"
"Estimated HIV incidence","2021","Nevada","32","510 (230 - 790, 27.9)","19.3 (8.7 - 29.9)","NA"
"AIDS prevalence","2021","Nevada","32","5,110","192.3","NA"
"AIDS classifications","2021","Nevada","32","216","8.1","NA"
"AIDS deaths","2021","Nevada","32","166","6.2","NA"
"HIV deaths","2021","Nevada","32","210","7.9","NA"
"HIV diagnoses","2021","Nevada","32","501","18.9","NA"
"Linkage to HIV medical care","2021","Nevada","32","439","NA","87.6"
"Receipt of HIV medical care","2021","New Hampshire","33","1,076","NA","80.7"
"Knowledge of Status","2021","New Hampshire","33","1,336","NA","90.1 (77.3 - 100.0, 6.4)"
